UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews
a22124811bfa8350,Books,£45.17,£45.17,£0.00,In stock (19 available),0
ce60436f52c5ee68,Books,£49.43,£49.43,£0.00,In stock (15 available),0
f9705c362f070608,Books,£48.87,£48.87,£0.00,In stock (14 available),0
1809259a5a5f1d8d,Books,£36.94,£36.94,£0.00,In stock (8 available),0
a94350ee74deaa07,Books,£37.33,£37.33,£0.00,In stock (7 available),0
cc1936a9f4e93477,Books,£44.34,£44.34,£0.00,In stock (7 available),0
48736df57e7bec9f,Books,£30.54,£30.54,£0.00,In stock (6 available),0
9e60929f521fa280,Books,£56.88,£56.88,£0.00,In stock (6 available),0
366a236aa1ea6f07,Books,£23.21,£23.21,£0.00,In stock (3 available),0
747cf7fca2ccdbd4,Books,£38.95,£38.95,£0.00,In stock (3 available),0
228ba5e7577e1d49,Books,£26.08,£26.08,£0.00,In stock (1 available),0
