UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews
3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,In stock (19 available),0
09555be379ad9253,Books,£16.28,£16.28,£0.00,In stock (16 available),0
51653ef291ab7ddc,Books,£19.49,£19.49,£0.00,In stock (16 available),0
7d385d34d12e60ff,Books,£38.16,£38.16,£0.00,In stock (16 available),0
53a3d11bb568cc8b,Books,£51.04,£51.04,£0.00,In stock (16 available),0
c82a3e358c773c73,Books,£50.40,£50.40,£0.00,In stock (16 available),0
0fa6dceead7ce47a,Books,£13.61,£13.61,£0.00,In stock (16 available),0
e80f8e518b300dfe,Books,£18.97,£18.97,£0.00,In stock (16 available),0
9429b4d59c537af5,Books,£10.16,£10.16,£0.00,In stock (16 available),0
889139b8e9c4cb36,Books,£15.44,£15.44,£0.00,In stock (16 available),0
11809b1d323b3057,Books,£48.41,£48.41,£0.00,In stock (16 available),0
460089f796fb3f82,Books,£46.91,£46.91,£0.00,In stock (16 available),0
b6ee99bcf06fc91f,Books,£45.61,£45.61,£0.00,In stock (16 available),0
57e5a4d515c8ce44,Books,£19.92,£19.92,£0.00,In stock (16 available),0
8d4eefad7a2b3915,Books,£29.17,£29.17,£0.00,In stock (16 available),0
1c89ae5bb804e4de,Books,£54.63,£54.63,£0.00,In stock (16 available),0
f2df3bb043a8abb0,Books,£22.11,£22.11,£0.00,In stock (16 available),0
09b6cc87e62c2c58,Books,£51.99,£51.99,£0.00,In stock (16 available),0
8754c83ab2a7ae71,Books,£36.72,£36.72,£0.00,In stock (16 available),0
7b599c8bfcdd8d30,Books,£17.08,£17.08,£0.00,In stock (16 available),0
